BRIDGE NAME,EASTING,NORTHING,OWNER
WOODSCOMBE,283333,113277,Devon County Council
YEO (OLD),273158,105322,Devon County Council
YEOTON,282708,98884,Devon County Council
BRAMPFORD SPEKE,292737,98550,Devon County Council
BRADIFORD,274332,105883,Unknown
BRUSHFORD FB,267633,107172,Devon County Council
BURY WOOD FB,273340,107390,Devon County Council
CHAWLEIGH BARTON WOOD FB,270586,113671,Devon County Council
CHENSON,270208,109532,Unknown
DOWNES,285108,99146,Devon County Council
LOWER CREEDY,284869,100771,Devon County Council
PENNY,287106,101165,Devon County Council
UPTON HELLIONS,283722,103210,Devon County Council
WESTWAY LANE,282265,113197,Devon County Council
COWLEY (EXE) BRIDGE,290875,95337,Devon County Council
RED COW CULVERTS,291271,93456,Devon County Council
BONHAY ROAD CULVERT,291436,92591,Devon County Council
RENSLADE SUBWAY,291531,92193,Devon County Council
ST EDMUNDS SUBWAY,291536,92187,Devon County Council
BONHAY ROAD SUBWAY,291523,92187,Devon County Council
FROG STREET OVERBRIDGE,291638,92229,Devon County Council
SHILHAY SUBWAY,291678,92113,Devon County Council
EXE BRIDGE (SOUTH),291650,92048,Devon County Council
EXE BRIDGE (NORTH),291523,92136,Devon County Council
ALBANY SUBWAY,291626,91978,Devon County Council
A30 SPUR SUBWAYS ALPHINGTON,291460,90534,Devon County Council
ALPHIN BROOK BRIDGE,291347,90357,Devon County Council
WOODWATER LANE OVERBRIDGE,296031,91054,Devon County Council
EXETER BY-PASS CYCLE BRIDGE,295334,90810,Devon County Council
EXETER BYPASS BRIDGE,295199,90775,Devon County Council
COUNTESS WEAR FOOTBRIDGE,294530,89917,Devon County Council
COUNTESS WEAR HOTEL LEAT,294278,89631,Devon County Council
COUNTESS WEAR BRIDGE,294195,89567,Devon County Council
COUNTESS WEAR FLOOD RELIEF,294117,89508,Devon County Council
CANAL SWING BRIDGE,294023,89409,Devon County Council
CANAL BASCULE,294012,89410,Devon County Council
ALPHIN BROOK CULVERT,294004,89379,Devon County Council
EXE CHANNEL FLOOD RELIEF,293985,89337,Devon County Council
PINHOE RAILWAY (MONKERTON),296172,94179,Devon County Council
PINHOE RAILWAY (MONKERTON) FB,296162,94179,Devon County Council
PINHOE DEVIATION,295961,94056,Devon County Council
HILL BARTON RAILWAY,295441,92874,Devon County Council
HEAVITREE GALLOWS,295638,92508,Devon County Council
HELES SCHOOL FOOTBRIDGE,295571,91811,Devon County Council
NORTHBROOK BRIDGE,293966,90652,Devon County Council
BURNTHOUSE LANE FOOTBRIDGE,293627,90936,Devon County Council
ROBERTS ROAD CULVERT,292373,92037,Devon County Council
EAST WONFORD HILL CULVERT,294747,92191,Devon County Council
PRINCE OF WALES CULVERT,291449,93497,Devon County Council
CRICKLEPIT CULVERT,291778,92223,Devon County Council
LOWER COMBE STREET SUBWAY,291997,92265,Devon County Council
BULL MEADOW ARCH,292506,92332,Devon County Council
POLSLOE CULVERT,294139,93515,Devon County Council
PINHOE ROAD CULVERT,294979,93609,Devon County Council
ALPHINGTON BRIDGE,291794,90286,Devon County Council
MINCINGLAKE BRIDGE,293398,94520,Devon County Council
PINN LANE BRIDGE,296456,93967,Devon County Council
QUAY BRIDGE,291961,92119,Devon County Council
BEACON LANE CULVERT,295220,94529,Devon County Council
BROOKWAY CULVERT,295037,93510,Devon County Council
CALTHORPE ROAD CULVERT,294070,93995,Devon County Council
CRABB LANE FOOTBRIDGE,290954,90487,Devon County Council
ENGINE BR,291469,92512,Devon County Council
HENNOCK ROAD BRIDGE,292415,90264,Devon County Council
HILL LANE FOOTBRIDGE,295082,93229,Devon County Council
HOLMAN WAY FOOTBRIDGE,296784,87996,Devon County Council
IRON BRIDGE,291711,92742,Devon County Council
LATIMER ROAD CULVERT,294119,93944,Devon County Council
LETHBRIDGE ROAD CULVERT,294661,91973,Devon County Council
LUDWELL LANE CULVERT,294458,91503,Devon County Council
MILL LANE CULVERT,291540,90302,Devon County Council
NEW BRIDGE STREET ARCH,291601,92185,Devon County Council
NEW BRIDGE STREET CULVERT,291669,92267,Devon County Council
QUARRY LANE CULVERT,294740,92132,Devon County Council
ST KATHERINES ROAD CULVERT,294187,93873,Devon County Council
STATION ROAD RIVER BRIDGE,291046,93560,Devon County Council
SUMMER LANE CULVERT,294824,93686,Devon County Council
SUMMER LANE FOOTWAY,294795,93943,Devon County Council
SWEET BRIAR LANE CULVERT,294789,92266,Devon County Council
THORNPARK RISE CULVERT,294794,92877,Devon County Council
TREWS WEIR LEAT (IN),292477,91656,Devon County Council
TREWS WEIR LEAT (OUT),292493,91635,Devon County Council
TREWS WEIR SUSPENSION F.B.,292522,91493,Devon County Council
VAUGHAN ROAD CULVERT,294723,92810,Devon County Council
VAUGHN ROAD FOOTWAY,294786,92756,Devon County Council
VENNY BRIDGE CULVERT,295899,94089,Devon County Council
WHIPTON BARTON ROAD,294998,93318,Devon County Council
WHIPTON LANE CULVERT,294672,92853,Devon County Council
WOODWATER BRIDGE,294633,91801,Devon County Council
LYMPSTONE,300043,83942,Devon County Council
BUDLEIGH SALTERTON,306558,81874,Devon County Council
EAST BUDLEIGH,306965,84378,Devon County Council
LIVONIA,312736,88870,Devon County Council
KNOWLE,305114,82710,Devon County Council
BRADHAM LANE,301487,82043,Devon County Council
BROOK COTTAGE,308427,85389,Devon County Council
EAST BUDLEIGH ARMCO,306991,84364,Devon County Council
EAST BUDLEIGH VILLAGE,306618,84787,Devon County Council
FLINT COTTAGES,308491,85539,Devon County Council
LITTLEHAM,302914,81174,Devon County Council
MANSTONE LANE,312619,88964,Devon County Council
NORTH STAR,308625,85723,Devon County Council
OTTERTON,307910,85266,Devon County Council
OTTERTON MILL,307980,85250,Devon County Council
SIDMOUTH,312781,87809,Devon County Council
STATION ROAD,306159,81987,Devon County Council
WOTTON,300491,84151,Devon County Council
WITHYCOMBE FOOTBRIDGE,300691,81740,Devon County Council
WOOL BROOK,312038,89250,Devon County Council
BROOKLYN,301282,82052,Devon County Council
BROOK ROAD CULVERT,306305,81961,Devon County Council
BUDLEIGH BROOK,306487,84850,Devon County Council
CASTLE,302962,81262,Devon County Council
CHERRY COTTAGE,311960,87530,Devon County Council
CHURCH,308183,87105,Devon County Council
DOTTON FOOTBRIDGE,308702,88515,Devon County Council
GLEN ROAD,311912,87547,Devon County Council
HIGHER WOOLBROOK PARK,311789,89351,Devon County Council
ICE HOUSE LANE,311995,89266,Devon County Council
KERSBROOK ARMCO,307118,83008,Devon County Council
KNOWLE ROAD,305799,82133,Devon County Council
LONGBROOK,299748,84019,Devon County Council
LYMPSTONE VILLAGE,298893,84069,Devon County Council
MAER ROAD,301131,80094,Devon County Council
MANSTONE AVENUE,312379,89096,Devon County Council
MILL STREET FOOTBRIDGE,312782,87666,Devon County Council
MOORFIELD,300931,81831,Devon County Council
SCHOOL,306705,84629,Devon County Council
SOUTH FARM,307500,83032,Devon County Council
WITHYCOMBE BUNGALOWS,301318,82058,Devon County Council
WOOLBROOK MEADOWS,312115,89194,Devon County Council
BICTON FOOTBRIDGE,308414,85995,Devon County Council
CLAMOUR FOOTBRIDGE,307757,84210,Devon County Council
COLATON RALEIGH FOOTBRIDGE,308595,87113,Devon County Council
OTTERTON FOOTBRIDGE,307807,85317,Devon County Council
SALCOMBE FOOTBRIDGE,312930,88446,Devon County Council
SKINNERS FARM FOOTBRIDGE,313428,89095,Devon County Council
AXMINSTER RAILWAY,329282,98264,Devon County Council
BOW,329010,98206,Devon County Council
CULVERT A,328950,98222,Devon County Council
CULVERT B,328820,98168,Devon County Council
CULVERT B/1,328662,98125,Devon County Council
CULVERT C,328608,98122,Devon County Council
CULVERT D,328568,98117,Devon County Council
CULVERT E,328516,98109,Devon County Council
YARTY,328148,98047,Devon County Council
CRAWLEY,325641,108089,Devon County Council
CRAWLEY FLOOD CULVERT,325688,108061,Devon County Council
MUSBURY HOUSE CULVERT NO 1,326353,92950,Devon County Council
MUSBURY HOUSE CULVERT NO 2,326447,93234,Devon County Council
WARLAKE,328158,95984,Devon County Council
GAMBERLAKE CROSS,329387,97842,Devon County Council
MILLBROOK,330232,98850,Devon County Council
PINNEY WOOD ROAD,330657,99867,Devon County Council
WEYCROFT MILL,330668,99895,Devon County Council
WEYCROFT,330705,100005,Devon County Council
FORDWATER,331587,102314,Devon County Council
STONEYFORD,315255,101150,Devon County Council
HONITON TOWN,315956,100536,Devon County Council
STAFFORD BROOK,324466,92156,Devon County Council
COLYFORD,325358,92660,Devon County Council
AXE BRIDGE (COLYFORD),325924,92643,Devon County Council
TALBOT ARMS,332484,93332,Devon County Council
UMBORNE,324893,94230,Devon County Council
AXMOUTH (SEATON),325300,89982,Devon County Council
ALLER FARM,324725,104111,Devon County Council
AXE BRIDGE,332233,101723,Devon County Council
AXE CROSSING,332187,101729,Devon County Council
AXE FARM,331941,101637,Devon County Council
BARN,317010,105036,Devon County Council
BECKFORD FARM,326747,101415,Devon County Council
BOLSHAYNE,322312,93877,Devon County Council
BRIDGE,319720,88681,Devon County Council
BROOKSIDE,325854,95762,Devon County Council
CHANTRY,324482,94237,Devon County Council
CHASEHAYES,325196,104038,Devon County Council
COCKERS ELM,324751,104144,Devon County Council
COTLEIGH,321488,103313,Devon County Council
DUCKING STOOL,329539,98702,Devon County Council
EASY,323951,96873,Devon County Council
FAIR WATER,333409,101033,Devon County Council
FORD,318368,103037,Devon County Council
FORD FARM,324064,102914,Devon County Council
FURLEY,327335,104420,Devon County Council
HORNSHAYES,323402,104270,Devon County Council
KITBRIDGE,330785,103886,Devon County Council
KILMINGTON ARCH,327281,97530,Devon County Council
LANGFORD,317191,102008,Devon County Council
LONG,325516,105481,Devon County Council
MILLGREEN,326941,99064,Devon County Council
NETHERTON LODGE,317880,95976,Devon County Council
NORTH HILL,323101,105482,Devon County Council
PARK,319947,107746,Devon County Council
PUDLEYLAKE,328673,95915,Devon County Council
PUMP FARM,326167,95584,Devon County Council
PURLBRIDGE,321491,95298,Devon County Council
ROSE FARM STOCKLAND,324190,102399,Devon County Council
SANDYS LANE,320523,107614,Devon County Council
SECTOR,331000,98111,Devon County Council
SMALLRIDGE,330288,101105,Devon County Council
SOUTHLEIGH,320768,93528,Devon County Council
STAFFORD BROOK,324803,91869,Devon County Council
STOCKLAND,324331,104645,Devon County Council
STONEY,329486,98720,Devon County Council
STUBBING,320464,95035,Devon County Council
TENACRE,319837,95959,Devon County Council
THRESHING COTTAGE,323860,101265,Devon County Council
UPOTTERY,320305,107240,Devon County Council
UPOTTERY DRAIN,320358,107205,Devon County Council
UXFORD,316499,103678,Devon County Council
VALE,321192,102182,Devon County Council
WATERSIDE UPLYME,332890,93359,Devon County Council
WESTBROOK,327273,97904,Devon County Council
WHITFORD,326221,95380,Devon County Council
BLAMPHAYNE,321128,96848,Devon County Council
BONEHAYNE,321642,94758,Devon County Council
BRINKLEY,321347,95153,Devon County Council
CASE,325891,103719,Devon County Council
CHURCH STREET UPLYME,332574,93344,Devon County Council
CLAPSWATER,319549,96203,Devon County Council
CORRYMOOR FARM,322990,106181,Devon County Council
DAMAS LAWN,333053,102195,Devon County Council
EASTFIELD,317846,96060,Devon County Council
FREAKHAYNE,322684,94396,Devon County Council
FREAKHAYNE FB,322827,94500,Devon County Council
HIGHER BRUCKLAND,328202,93228,Devon County Council
HIGHER CROOK,317122,102211,Devon County Council
HIGHER WESTWATER FOOTBRIDGE,327533,99867,Devon County Council
HOEMOOR FARM,322091,110334,Devon County Council
HOLE,319210,89586,Devon County Council
HOOK,331046,105624,Devon County Council
HOWLEY,325989,109339,Devon County Council
KING STREET,315965,100420,Devon County Council
LOWER BRUCKLAND,327202,92987,Devon County Council
LOWER BRUCKLAND DRAIN,327072,92953,Devon County Council
MEMBURY COURT,326156,103702,Devon County Council
MILLWATER,324928,100094,Devon County Council
NEW,320059,106783,Devon County Council
NORTHWAY FORD FOOTBRIDGE,335908,100655,Devon County Council
NUNFORD FB,326287,94729,Devon County Council
PHILLISHAYES FOOTBRIDGE,321152,108406,Devon County Council
GAMBERLAKE ESTATE,329425,97827,Devon County Council
ROUNDBALL LANE,316190,99034,Devon County Council
SOUTHLEIGH HILLS,320591,93399,Devon County Council
STOCKLAND CHURCH,324530,104474,Devon County Council
STOUT MILL,323014,111331,Devon County Council
WOODBRIDGE,318872,95324,Devon County Council
WOODHAYES,317203,102437,Devon County Council
WOODHAYES FORD,325431,99588,Devon County Council
YARTY FARM RIVER,326137,102654,Devon County Council
YARTY FARM STREAM,326223,102689,Devon County Council
COAXDON COTTAGES FB,331129,100367,Devon County Council
COMBE FARM FB,319540,96674,Devon County Council
COLY VALE FB,324952,93329,Devon County Council
HAM FB,325057,93880,Devon County Council
HEATHAYNE FB,323476,94384,Devon County Council
ISLE OF MAN FB,328371,97393,Devon County Council
LEXHAYNE FB,324588,95920,Devon County Council
LUGGS FB,325568,106947,Devon County Council
MARSH LANE FB,325397,104427,Devon County Council
RAWRIDGE FB,319835,106275,Devon County Council
STONEHAYES FB,316869,103393,Devon County Council
TRITCHAYNE FB,324487,95345,Devon County Council
WOODBURY FARM FB 1,329881,97711,Devon County Council
WOODBURY FARM FB 2,329878,97708,Devon County Council
NAG'S HEAD,313406,99457,Devon County Council
FENNY,311477,98556,Devon County Council
FENNY MILL RACE,311356,98496,Devon County Council
ASH FARM ACCOMMODATION,310301,98070,Devon County Council
ASH FARM RLY (DISUSED),310101,97963,Devon County Council
FAIRMILE,308810,97135,Devon County Council
BODLEY,303861,95774,Devon County Council
ROCKBEARE,300898,95273,Devon County Council
COACH ROAD,299641,94402,Devon County Council
CLYST HONITON,298498,93522,Devon County Council
ASH FARM RLY (LAY BY),310105,97949,Devon County Council
DULFORD,306989,105981,Devon County Council
COLLITON,308595,104055,Devon County Council
SHILLINGFORD,309522,103502,Devon County Council
GODFORD,312969,102244,Devon County Council
COTFORD BRIDGE,314106,92229,Devon County Council
OAK BRIDGE,313951,91820,Devon County Council
TWO BRIDGES (SIDBURY),313403,90282,Devon County Council
CLYST ST MARY RIVER,297066,91092,Devon County Council
CLYST ST MARY MILL LEAT,297206,90998,Devon County Council
OLD GRINDLE,297472,90327,Devon County Council
NEW GRINDLE,297507,90341,Devon County Council
OLD WINSLADE,297603,90133,Devon County Council
NEW WINSLADE,297640,90134,Devon County Council
EXTON,298496,86321,Devon County Council
COLATON RALEIGH,307758,87483,Devon County Council
GOOSEMOOR BRIDGE,307080,89552,Devon County Council
BURROW,307532,89584,Devon County Council
NEWTON POPPLEFORD RIVER,309092,89830,Devon County Council
NEWTON POPPLEFORD FLOOD,309187,89860,Devon County Council
SIDFORD,313737,89962,Devon County Council
CORNER CUT CULVERT,309283,95105,Devon County Council
ST SAVIOURS,309373,95142,Devon County Council
ST SAVIOURS CULVERT,309411,95157,Devon County Council
OTTER MILL LEAT BRIDGE,309421,95171,Devon County Council
CLYST HYDON BRIDGE,303615,101547,Devon County Council
PYLE BRIDGE,304927,100723,Devon County Council
CADHAY HOUSE,309217,96299,Devon County Council
TALEWATER BRIDGE,309293,96073,Devon County Council
CADHAY BRIDGE,309347,96048,Devon County Council
CADHAY FARM BRIDGE,309435,95902,Devon County Council
CHANTERS HOUSE,309516,95621,Devon County Council
TIPTON ST JOHN CULVERT,309557,91835,Devon County Council
WIGGATON BRIDGE,310098,93666,Devon County Council
BUTTS BRIDGE,310105,96096,Devon County Council
FOUR ELMS CULVERT,310840,96873,Devon County Council
ALFINGTON BRIDGE,311343,97658,Devon County Council
WOODBURY WOOD,301908,86559,Devon County Council
WITHY,297504,95709,Devon County Council
BROADCLYST,298383,97563,Devon County Council
ELLERHAYES,297560,101171,Devon County Council
WISH MEADOW,298989,95451,Devon County Council
WISHFORD,299103,95238,Devon County Council
WOODBURY TANNERY,300741,86920,Devon County Council
ASHCLYST,300899,98261,Devon County Council
BROADHEMBURY BRIDGE,309991,104845,Devon County Council
BURROW BRIDGE,299012,97864,Devon County Council
CHERRY BRIDGE,313965,100721,Devon County Council
CLAP MILL,301746,99732,Devon County Council
CLYST BRIDGE (TOPSHAM),297055,88215,Devon County Council
CLYST ST LAWRENCE,302731,100029,Devon County Council
CRANNAFORD,301302,95975,Devon County Council
CYPRESSES,304215,97514,Devon County Council
DANES MILL BRIDGE,307566,103313,Devon County Council
DUNKESWELL BRIDGE,314006,107409,Devon County Council
DYMONDS,298676,92683,Devon County Council
EBFORD (HIGHER),298197,87817,Devon County Council
EBFORD (LOWER),298177,87832,Devon County Council
FARRINGDON,301407,92661,Devon County Council
FENNY MEADOW,311324,99055,Devon County Council
GITTISHAM BRIDGE,313466,98401,Devon County Council
GOSFORD,310170,97019,Devon County Council
GOSPEL HALL,307996,89689,Devon County Council
GREENDALE,302189,89760,Devon County Council
HELE FACTORY,299514,102321,Devon County Council
HOSPITAL,308769,91969,Devon County Council
LOXBROOK BRIDGE,299527,97087,Devon County Council
LUTON BRIDGE,308377,102726,Devon County Council
MARSH GREEN,304276,93725,Devon County Council
METCOMBE,308007,91976,Devon County Council
MOUNTSTEVEN FARM,308682,92829,Devon County Council
NUTWELL,299305,85113,Devon County Council
OIL MILL,298539,90360,Devon County Council
PARSONS BRIDGE,301375,95016,Devon County Council
PAYHEMBURY BRIDGE,308910,101660,Devon County Council
ROCKBEARE BRIDGE,301974,95050,Devon County Council
ROWDEN BRIDGE,307891,98984,Devon County Council
SALSTON BRIDGE,308870,94564,Devon County Council
SHEPHERDS FARM,298657,90265,Devon County Council
SOUTHBROOK BRIDGE,302330,96338,Devon County Council
TALEWATER BRIDGE,308201,99638,Devon County Council
TALEWATER WORKS ARCH,308220,99650,Devon County Council
TIPTON GARAGE ARCH,309087,91759,Devon County Council
TIPTON ST JOHN BRIDGE,309012,91768,Devon County Council
TITFORD,312929,102888,Devon County Council
TRAFALGAR BRIDGE,314289,100079,Devon County Council
TREASLAKE BRIDGE,312664,100509,Devon County Council
WESTWOOD COTTAGE,301846,99569,Devon County Council
WHIMPLE SQUARE CULVERT,304405,97182,Devon County Council
YETTINGTON,305295,85689,Devon County Council
BACK LANE BRIDGE,308871,89885,Devon County Council
BALLAMOUNT BRIDGE,299678,96209,Devon County Council
BARNHAYES BRIDGE,303802,97093,Devon County Council
BONFIRE BRIDGE,314229,92216,Devon County Council
BROOK STREET CULVERT,310100,95500,Devon County Council
BURROW BRIDGE,307642,89592,Devon County Council
CLYST ST MARY (FLOOD RELIEF),297168,91088,Devon County Council
CLYST ST MARY (MILL LEAT),297207,91078,Devon County Council
CLYST ST MARY (RIVER),297071,91111,Devon County Council
COBDEN BRIDGE,303617,95959,Devon County Council
COOMBE FARM CULVERT,300889,85051,Devon County Council
COOTS LANE BRIDGE,301165,86551,Devon County Council
COPPLESTONES BRIDGE,307199,87669,Devon County Council
EXTON,298679,86470,Devon County Council
FURZEBROOK,310292,95588,Devon County Council
GRANGE BRIDGE,309417,104195,Devon County Council
HALLS DAIRY BRIDGE,311027,100491,Devon County Council
HARCOMBE BRIDGE,315435,90467,Devon County Council
HIGHER ASHCLYST BRIDGE,301104,98331,Devon County Council
HOLBROOK BRIDGE,299179,92436,Devon County Council
HOME FARM BRIDGE,296223,96274,Devon County Council
KENNELS BRIDGE,295678,96294,Devon County Council
KENNIFORD BRIDGE,298787,89721,Devon County Council
LANGATON BRIDGE,297152,94112,Devon County Council
MONKS HOLLOW BRIDGE,310983,93717,Devon County Council
POSTLAKE FARM BRIDGE,299470,88403,Devon County Council
ROCKBEARE (OLD) BRIDGE,300890,95284,Devon County Council
ROOKERY BRIDGE,303006,94562,Devon County Council
SIDBURY SCHOOL BRIDGE,314063,91793,Devon County Council
SOUTHLANDS BRIDGE,315133,107290,Devon County Council
STONEY BRIDGE,313971,91613,Devon County Council
STONEY LEAT BRIDGE,313960,91626,Devon County Council
STOOKE BRIDGE,302591,98634,Devon County Council
TALEFORD IRISH BRIDGE & FOOTBRIDGE,308930,96916,Devon County Council
TUCKMILL BRIDGE,307870,101183,Devon County Council
WEAVER,304054,103965,Devon County Council
BACK BROOK,308394,89762,Devon County Council
BROADCLYST,297929,97051,Devon County Council
BROADCLYST HOUSE,298059,97061,Devon County Council
CAT AND FIDDLE,299157,90728,Devon County Council
CLYST HONITON FOOTBRIDGE,298665,93661,Devon County Council
FAWNS COTTAGES,297980,92699,Unknown
GITTISHAM FB,313146,98139,Devon County Council
HARPFORD RIVER FOOTBRIDGE,308910,90302,Devon County Council
KIDDICOTT,299119,90479,Devon County Council
SIDBURY WEIR FB,313768,91022,Devon County Council
MORTIMER,301926,124634,Devon County Council
PETTON,301035,124740,Devon County Council
LOWER RILL,299067,124412,Devon County Council
SHILLINGFORD,297971,123776,Devon County Council
HUKELEY,296953,123292,Devon County Council
BAMPTON CULVERT,295853,122212,Devon County Council
STUCKERIDGE,293339,121616,Devon County Council
EXE BRIDGE TIVERTON,295313,112548,Devon County Council
LOWMAN UNDERBRIDGE,295779,112597,Devon County Council
HALBERTON CANAL BRIDGE,299841,113100,Devon County Council
ROCK CANAL BRIDGE,301651,113078,Devon County Council
SAMPFORD PEVERELL CANAL,302979,114181,Devon County Council
LOWER TOWN CULVERT,303290,114321,Devon County Council
LEONARD MOOR (OLD ROAD),304458,114085,Devon County Council
STONEYFORD,302882,107474,Devon County Council
BURN,294404,105365,Devon County Council
BICKLEIGH BY PASS,293872,107401,Devon County Council
BICKLEIGH RAILWAY,293812,107432,Devon County Council
BICKLEIGH MILL LEAT,293789,107453,Devon County Council
BICKLEIGH,293733,107570,Devon County Council
KENNEDY WAY (MILL LEAT),294961,113049,Devon County Council
KENNEDY WAY (RIVER),294982,113066,Devon County Council
KENNEDY WAY (CATTLE CREEP),294999,113080,Devon County Council
KENNEDY WAY (FLOOD),295038,113109,Devon County Council
EPPSCLEAVE WOOD BRIDGE,294585,116907,Devon County Council
BICKLEIGH CULVERT,294947,119054,Devon County Council
COVE CULVERT,295423,119996,Devon County Council
BATHERM,295456,120930,Devon County Council
WONHAM HOUSE CULVERT,292935,121789,Devon County Council
BAMPTON BRIDGE,295926,122141,Devon County Council
LANGFORD (SHUFFSHAYES),302785,103270,Devon County Council
WILLAND MOOR RAILWAY U/B,303872,111255,Devon County Council
STONESHALL RAILWAY U/B,302822,109795,Devon County Council
FIVE BRIDGES,302611,109561,Devon County Council
CORNMILL CULVERT,302582,109529,Devon County Council
BOURNE CULVERT,302438,108828,Devon County Council
PALMERS,302290,107582,Devon County Council
STATION ROAD FLOOD CULVERT,302409,107705,Devon County Council
LONG BRIDGE,302566,107730,Devon County Council
STATION ROAD RLY U/B,302608,107735,Devon County Council
NEW EXETER HILL CULVERT,301940,106920,Devon County Council
PADBROOK CULVERT,301924,106396,Devon County Council
BAULK BRIDGE,302134,105374,Devon County Council
NAGS HEAD RLY U/B,302026,105131,Devon County Council
WEAVER BRIDGE,301338,103340,Devon County Council
POUNDAPIT FARM BRIDGE,299979,102286,Devon County Council
SILVERTON PARK CATTLE CREEP,297077,102712,Devon County Council
YARD FARM BRIDGE,297648,101397,Devon County Council
ELLERHAYES BRICK ARCH,297592,101205,Devon County Council
FARLEIGH CULVERT,294238,113694,Devon County Council
LEIGH BRIDGE,291432,114701,Devon County Council
EXEBRIDGE,293002,124440,Devon County Council
SLOUGH FARM CULVERT,302500,111924,Devon County Council
ROSE COTTAGE BRIDGE,303029,111669,Devon County Council
SPRATFORD BRIDGE,303153,111596,Devon County Council
UFFCULME,306978,112566,Devon County Council
CORKS FARM BRIDGE,307214,112447,Devon County Council
CRADDOCK BRIDGE,308727,112449,Devon County Council
CULMSTOCK BRIDGE,310111,113760,Devon County Council
BADCOTT BRIDGE,294014,117330,Devon County Council
BAREHILLS WOOD BRIDGE,293164,118011,Devon County Council
BATTENS CANAL,302289,113549,Devon County Council
BLACKPIT,312506,113806,Devon County Council
BRADFIELD,304313,110155,Devon County Council
BRADFIELD WEST,304224,110183,Devon County Council
BRADFORD FARM,299160,114148,Devon County Council
BRITHAYES,296290,107464,Devon County Council
BRITHEM BOTTOM,301358,110196,Devon County Council
BURN,297394,107746,Devon County Council
BUTTERLEIGH MILL,296895,107683,Devon County Council
CANONSLEIGH RAILWAY,306539,117416,Devon County Council
CHACK,305732,115455,Devon County Council
CHALYBEATE,295252,124927,Devon County Council
CLAYHIDON,316387,114151,Devon County Council
CLAYHIDON CULVERT,316356,114101,Devon County Council
COTLEIGH BRIDGE,294637,114688,Devon County Council
COVE,294898,119743,Devon County Council
COVE MILL LEAT,295042,119645,Unknown
CROW GREEN,301796,107024,Devon County Council
CULM BRIDGE,314347,113541,Devon County Council
CULM MILL,314297,113503,Devon County Council
DUKE STREET ARMCO,302597,106603,Devon County Council
EBEAR CANAL,306052,116353,Devon County Council
FENACRE CANAL,307083,117734,Devon County Council
FENACRE KNAP,307008,117710,Devon County Council
FIRST,302382,106723,Devon County Council
FIVE BRIDGES,314992,112544,Devon County Council
FORD,297257,122738,Devon County Council
FOSSEND CANAL,306961,117066,Devon County Council
FULFORD WATER,299594,108941,Devon County Council
GLADHAYES,315205,113931,Devon County Council
GLADHAYES RELIEF,315232,114001,Devon County Council
GRACESFORD,289426,121987,Devon County Council
GRANTS COPSE,300576,119177,Devon County Council
GREEN END HOUSE,301400,115305,Devon County Council
HAYNEMOOR,299884,123539,Devon County Council
HELE,299399,102406,Devon County Council
HELE FLOOD SPAN NO 1,299433,102380,Devon County Council
HELE FLOOD SPAN NO 2,299460,102360,Devon County Council
HEMYOCK CHURCH,313604,113290,Devon County Council
HEMYOCK INN,313554,113230,Devon County Council
HENDOM,300934,121058,Devon County Council
HIGHER KINGSFORD,304772,108754,Devon County Council
HOCKFORD WATER,302093,120360,Devon County Council
HOCKWORTHY,304116,119257,Devon County Council
HOLBROOK CANAL,304237,114891,Devon County Council
HOLCOMBE,306013,118975,Devon County Council
HORSEPOOL,306747,117250,Devon County Council
HUKELEYHEAD,297771,123969,Devon County Council
HUNTSHAM,300449,120337,Devon County Council
HUNTSHAM POST OFFICE,300080,120351,Devon County Council
HUNTSHAM WOOD,300824,118330,Devon County Council
IRON BRIDGE (STOODLEIGH),294269,117820,Devon County Council
IRON BRIDGE ARMCO CULVERT,294217,117856,Devon County Council
KENTISBEARE CORNMILL,306913,108336,Devon County Council
LAST,302659,106583,Devon County Council
LATCHMOOR,304559,104906,Devon County Council
LEASE,297635,101238,Devon County Council
LEIGH HILL,310549,110745,Devon County Council
LITTLE DORWEEKE,295229,106908,Devon County Council
LOWER DORWEEKE,294894,106320,Devon County Council
LOWER FORD,298111,109725,Devon County Council
LOWER KINGSFORD,304428,108993,Devon County Council
LOWER LODFIN,295504,123917,Devon County Council
LOWMAN CROSS,301593,115138,Devon County Council
MADFORD,314449,111119,Devon County Council
MERRY HARRIERS CULVERT,301590,104216,Devon County Council
MILL,297609,101220,Devon County Council
MILLHAYES,313856,113928,Devon County Council
NEWPLACE LODGE,294791,112660,Devon County Council
NICHOLASHAYNE,310305,116294,Devon County Council
OLD,304972,103938,Devon County Council
PADBROOK,301872,106445,Devon County Council
PUGHAM CROSSING,305732,115084,Devon County Council
PUGHAM FARM,305681,115214,Devon County Council
PYLON,305361,108435,Devon County Council
RILL,296590,125444,Devon County Council
RULL HOUSE,310076,111234,Devon County Council
SHEVISHAYES,298515,106457,Devon County Council
SMITHINCOTT,306319,111948,Devon County Council
SPURWAY MILL (1),289222,120359,Devon County Council
SPURWAY MILL (2),289231,120374,Devon County Council
TEMPLETON BRIDGE,287787,114403,Devon County Council
UMBROOK FARM,309142,111215,Devon County Council
UPLOWMAN,301412,115450,Devon County Council
UPLOWMAN COURT,301373,115439,Devon County Council
VALLEY,312486,113848,Devon County Council
WATERSTAVE,301361,104235,Devon County Council
WATERSTAVE CULVERT,301385,104241,Devon County Council
WAYTOWN CANAL TUNNEL,307030,119106,Devon County Council
