BRIDGE NAME,EASTING,NORTHING,OWNER
WATERGATE IRISH,250148,87082,Devon County Council
WEIRFORD BRIDGE,263338,101498,Devon County Council
WEST CHAPPLE,267176,89023,Devon County Council
WOLLACOTT COTTAGES,244547,89588,Devon County Council
WOODBROOKE IRISH BRIDGE,277500,90731,Devon County Council
BURROW FARM F.B.,274592,90975,Unknown
COOMBE B.W.BRIDGE,267404,88907,Unknown
CHARLOTTE'S FOOTBRIDGE,260309,94721,Devon County Council
HALSTOCK B.W.BRIDGE,259937,93632,Unknown
INIGO BRAKE F.B.,251422,84604,Devon County Council
LEWQUARRY F.B.,246062,85652,Devon County Council
LOVERS MEET (CASTLE) F.B.,258504,94419,Devon County Council
MILFORD B.W.BRIDGE,240320,86308,Unknown
NORTHCOMBE F.B.,245828,95514,Devon County Council
PARK F.B.,267191,87586,Devon County Council
SAMPSON'S CLAPPER F.B.,265374,102316,Devon County Council
SOURTON RAILBRIDGE,253616,90234,Devon County Council
SOUTHERLY RAILBRIDGE,252883,88096,Devon County Council
WEEKS MILL F.B.(2),244603,94233,Devon County Council
WOOD BARTON B.W.BRIDGE 1.,258873,105580,Unknown
SEQUERS,263209,51864,Devon County Council
SEQUERS MINOR 1,263129,51905,Devon County Council
SEQUERS MINOR 2,263109,51921,Devon County Council
YEALM,259016,51977,Devon County Council
SILVER BRIDGE,256145,51998,Devon County Council
BRIXTON ROAD STATION,254145,52570,Devon County Council
GREYSTONE,236855,80346,Devon County Council
COMBE CULVERT,241188,78742,Devon County Council
RUDDIVER CULVERT,243298,77767,Devon County Council
RUSHFORD BRIDGE,244949,76320,Devon County Council
MARLEY MEAD,245828,75809,Devon County Council
BEDFORD,250402,70355,Devon County Council
FURZELAND DOWN CULVERT,249978,70548,Devon County Council
GLANVILLE TERRACE CULVERT,248148,72981,Devon County Council
WEST,247675,73753,Devon County Council
CANAL,247580,73882,Devon County Council
MARSHALL,249234,75246,Devon County Council
WALLABROOK,249278,75409,Devon County Council
HALF RAILWAY,250077,76587,Devon County Council
HALF,250225,76681,Devon County Council
KITTS,252053,84466,Devon County Council
NEW BRIDGE GUNNISLAKE,243325,72209,Devon County Council
LUMBURN,245971,73092,Devon County Council
TORR,257935,51571,Devon County Council
ERME BRIDGE,264036,53033,Devon County Council
LITTLE ERME BRIDGE,264070,53022,Devon County Council
LUDBROOK CATTLE CREEP,265939,54076,Devon County Council
WESTOVER WOOD CULVERT,262946,55769,Devon County Council
ERMINGTON ROAD,263256,55623,Devon County Council
KEATON,264067,54499,Devon County Council
FERNHAM,264193,53602,Devon County Council
DEVONPORT LEAT (ROCKLEAZE),253784,68956,Devon County Council
DEVONPORT LEAT,259400,74100,Devon County Council
OKERY BRIDGE,259497,74188,Devon County Council
HIGHER CHERRYBROOK BRIDGE,263407,76989,Devon County Council
POST BRIDGE,264813,78928,Devon County Council
ERME BRIDGE,263608,56227,Devon County Council
WESTERN ROAD CULVERT,262919,55925,Devon County Council
WESTOVER CULVERT,262881,55771,Devon County Council
VIGO BRIDGE,248423,74592,Devon County Council
ABBEY BRIDGE,248235,74330,Devon County Council
TAVITON MILL,249308,74681,Devon County Council
MERRIVALE (NEW) BRIDGE,254979,75087,Devon County Council
MERRIVALE (OLD) BRIDGE,255021,75098,Devon County Council
MISSION HALL BRIDGE,256731,74998,Devon County Council
BLACKBROOK BRIDGE,258807,74968,Devon County Council
BEARDOWN LEAT BRIDGE,260220,75038,Devon County Council
PRINCE EDWARD (TWO BRIDGES),260790,75010,Devon County Council
LOWER CHERRYBROOK BRIDGE,263115,74817,Devon County Council
DUNNA BRIDGE,264457,74590,Devon County Council
DARTMEET BRIDGE,267194,73181,Devon County Council
ALMS HOUSE,259753,59552,Devon County Council
ANDERTON,248800,72490,Devon County Council
ARTISCOMBE CATTLE CREEP,245351,74195,Devon County Council
ATWATER,244849,76899,Devon County Council
BERE BARTON,246050,63562,Devon County Council
BICKLEIGH,252683,61819,Devon County Council
BRIDGE FARM,239857,75464,Devon County Council
BRIDGEND CULVERT,255551,48187,Devon County Council
CADOVER,255544,64633,Devon County Council
CLEARBROOK LEAT,251851,65098,Devon County Council
COLELAND BRIDGE,256513,60619,Devon County Council
COLLARFORD,257961,54993,Devon County Council
CUDDLIPPTOWN,251983,78919,Devon County Council
DELAMORE,260135,59630,Devon County Council
DENHAM,247696,67874,Devon County Council
EFFORD,257013,53515,Devon County Council
FORD FARM,261428,50675,Devon County Council
TAVISTOCK ROAD BRIDGE,246138,68596,Devon County Council
GRATTON FORD,252940,67027,Devon County Council
HAM,252859,62702,Devon County Council
HAM RAILWAY,252550,62486,Devon County Council
HARFORD (ERME),263646,59557,Devon County Council
HARFORD (TAVY),250573,76757,Devon County Council
HEATHFIELD,260389,59895,Devon County Council
HEXWORTHY,265890,72883,Devon County Council
HILL BRIDGE,253200,80379,Devon County Council
HILL CREST,253720,68920,Devon County Council
HOMEWARD BRIDGE,263588,59274,Devon County Council
HOO MEAVY,252625,65663,Devon County Council
HORRABRIDGE,251329,69923,Devon County Council
HUCKWORTHY,253142,70533,Devon County Council
IVY BRIDGE,263610,56355,Devon County Council
LANGHAM,260815,59142,Devon County Council
LANGSFORD,251063,76997,Devon County Council
LEE MILL BRIDGE,259998,55754,Devon County Council
LITTLE HORRABRIDGE,251416,69589,Devon County Council
LONGBROOK COTTAGE,259363,52122,Devon County Council
LOWER MEAVY,253843,67183,Devon County Council
LUKESLAND,264073,57797,Devon County Council
LUMBURN (MIDDLE),245412,74231,Devon County Council
MARK'S BRIDGE,260145,57138,Devon County Council
MEADOWSIDE,249153,72514,Devon County Council
MEAVY CROSS (P) LEAT BRIDGE,254069,67811,Devon County Council
